Date,3M,American Express,Apple,Boeing,Caterpillar,Chevron,Cisco,Coca-Cola,Dow,ExxonMobile,Goldman Sachs,Home Depot,IBM,Intel,Johnson&Johnson,JPMorgan Chase,McDonalds,Merck,Microsoft,Nike,Pfizer,Procter&Gamble,Travelers,United Technologies,UnitedHealth,Verizon,Visa,Walgreens Boots Alliance,Walmart,Walt Disney
01.03.2017,189.86,81.92,139.79,183.91,98.58,113.88,34.44,42.16,,83.02,252.71,146.68,181.95,35.93,123.86,93.6,129.05,66.21,64.94,57.95,34.42,91.66,124.99,113.68,167.94,49.81,88.99,86.77,70.45,111.04
02.03.2017,189.89,80.1,138.96,182.99,94.36,113.36,34.39,42.47,,83.3,251.06,147.95,180.53,35.91,123.63,92.14,128.23,66.08,64.01,57.8,34.51,90.91,124.52,112.69,167.31,49.98,88.53,86.74,70.76,110.59
03.03.2017,189.31,79.88,139.78,182.18,95.12,113.55,34.29,42.48,,82.46,252.89,147.81,180.05,35.9,123.79,92.8,127.9,66.58,64.25,56.7,34.52,90.5,124.13,112.34,168.2,50.09,88.79,85.89,70.03,111.24
06.03.2017,188.9,79.5,139.34,180.93,95.66,113.17,34.19,42.18,,82.83,252.01,147.13,180.47,35.57,123.71,91.92,128.03,66.47,64.27,56.77,34.35,90.37,122.32,111.66,168.7,50.03,88.94,85.88,69.88,110.67
07.03.2017,189.09,79.58,139.52,182.02,95.93,111.81,34.2,41.99,,82.52,250.9,146.02,180.38,35.8,123.83,91.41,128.07,65.96,64.4,56.55,33.99,90.29,122.14,112.28,168.3,49.44,89.06,85.99,69.87,110.86
08.03.2017,189.51,79.04,139.0,181.74,93.23,109.61,34.02,41.99,,81.03,250.24,146.92,179.45,35.62,124.1,91.21,128.09,65.8,64.99,56.51,33.91,90.14,121.24,111.75,167.91,49.16,88.96,85.16,69.8,110.84
09.03.2017,189.9,79.3,138.68,180.57,91.39,110.04,34.07,42.03,,81.67,250.18,146.62,177.18,35.82,125.95,91.57,128.14,65.89,64.73,56.36,34.05,90.34,121.9,111.93,168.01,49.28,89.11,85.31,69.86,111.03
10.03.2017,191.21,79.38,139.14,178.7,92.31,110.61,34.26,42.29,,81.61,248.38,146.85,177.83,35.91,126.21,91.28,127.98,65.6,64.93,56.43,34.11,91.07,122.83,112.14,169.98,49.35,89.73,85.63,70.1,110.92
13.03.2017,191.52,79.21,139.2,179.05,92.64,109.35,34.1,42.03,,81.42,248.16,147.43,176.46,35.16,126.68,91.36,127.61,64.15,64.71,56.67,34.11,91.31,122.15,112.31,170.21,49.47,90.11,85.61,69.95,111.52
14.03.2017,190.33,79.69,138.99,178.73,91.86,107.36,34.12,41.97,,80.99,247.72,147.16,175.72,35.18,127.05,91.51,127.8,64.2,64.41,57.28,34.22,91.0,122.62,111.83,169.06,49.36,89.55,85.4,70.72,112.31
15.03.2017,191.2,79.23,140.46,178.71,93.36,108.88,34.24,42.12,,82.0,246.78,147.95,175.81,35.1,128.96,91.73,127.88,64.7,64.75,57.66,34.63,91.4,122.99,113.08,171.78,50.14,89.92,85.8,70.58,111.87
16.03.2017,190.31,79.77,140.69,178.19,92.85,107.86,34.23,42.25,,82.07,248.22,148.73,177.24,35.14,128.46,91.64,127.98,64.18,64.64,57.6,34.43,91.44,122.74,112.34,171.3,50.04,90.04,85.67,70.44,111.71
17.03.2017,192.36,79.25,139.99,180.1,92.91,107.68,34.23,42.03,,82.0,243.94,149.6,175.65,35.27,128.06,90.68,128.64,63.9,64.87,57.8,34.32,91.0,123.14,113.45,169.7,50.39,90.24,85.91,69.89,111.76
20.03.2017,193.01,78.85,141.46,179.39,95.4,107.66,34.28,42.24,,82.0,242.01,147.8,175.7,35.43,127.99,90.07,128.78,64.11,64.93,58.75,34.38,91.22,122.36,113.51,168.0,50.24,89.18,84.63,69.98,112.71
21.03.2017,192.13,77.53,139.84,175.96,92.43,108.04,33.88,42.5,,81.83,233.0,146.61,173.88,35.04,127.25,87.39,128.52,63.91,64.21,58.01,34.25,91.19,121.69,112.16,167.7,50.16,88.06,83.21,69.9,111.75
22.03.2017,192.22,77.67,141.42,176.98,92.43,108.39,34.1,42.38,,81.76,231.07,147.36,174.78,35.37,126.26,87.53,129.1,63.5,65.03,53.92,34.47,90.99,122.03,111.93,167.03,49.71,88.52,83.03,70.25,112.08
23.03.2017,192.14,77.84,140.92,177.26,92.23,107.87,33.96,42.17,,81.86,231.9,147.99,174.82,35.27,125.9,87.39,129.0,63.28,64.87,55.37,34.29,90.77,121.29,111.84,165.29,49.64,88.86,82.98,69.86,112.24
24.03.2017,191.51,78.2,140.64,175.82,92.15,107.99,34.08,42.12,,81.23,228.41,147.71,173.83,35.16,125.48,87.29,129.34,63.18,64.98,56.36,34.0,90.57,120.77,111.8,165.0,49.68,89.19,82.97,69.61,112.14
27.03.2017,190.43,77.6,140.88,176.1,91.51,106.28,33.99,42.32,,81.25,225.48,146.87,173.77,35.39,125.8,87.24,129.49,63.19,65.1,55.93,34.18,90.49,121.01,111.83,164.6,49.14,88.95,83.56,69.66,112.38
